,unique_dates_num,nTweets,dummy_dates,percentages
0,-8,2,-1,0.0010570824524312897
1,-7,2,-1,0.0017391304347826088
2,-6,4,-1,0.002609262883235486
3,-5,18,-1,0.006779661016949152
4,-4,47,0,0.0015691249624411579
5,-3,18,0,0.001917137075300884
6,-2,13,0,0.003506878877798759
7,-1,27,0,0.009180550833049982
8,0,28,0,0.0035555555555555557
9,1,2,0,0.0004322455154527772
10,2,1,1,0.00042716787697565144
11,3,1,1,0.0003875968992248062
12,4,5,1,0.000774593338497289
13,5,9,1,0.001794616151545364
14,6,1,1,0.00021114864864864866
15,7,17,1,0.003023834934187122
